[2013-11-24 18:22:33] noahsussman, quitting. (Ping timeout: 246 seconds)
[2013-11-24 18:23:27] AutomatedTester, joining. (#selenium)
[2013-11-24 18:44:21] mreedell-work, quitting. (Quit: Computer has gone to sleep.)
[2013-11-24 18:49:18] santiycr, joining. (#selenium)
[2013-11-24 18:49:18] selbot2: santiycr: note from ato about 8 hours ago: We need to talk docs (-:
[2013-11-24 19:04:01] plightbo_work, joining. (#selenium)
[2013-11-24 19:06:38] plightbo_work, quitting. (Client Quit)
[2013-11-24 19:06:51] plightbo_work, joining. (#selenium)
[2013-11-24 19:10:14] santiycr, quitting. (Quit: Leaving.)
[2013-11-24 19:11:07] jimpurbrick, quitting. (Ping timeout: 272 seconds)
[2013-11-24 19:11:39] nirvdrum, joining. (#selenium)
[2013-11-24 19:13:35] stephend, quitting. (Quit: Leaving...)
[2013-11-24 19:14:56] noahsussman, joining. (#selenium)
[2013-11-24 19:22:25] stepheneb_, joining. (#selenium)
[2013-11-24 19:22:48] stepheneb_, quitting. (Client Quit)
[2013-11-24 19:23:20] noahsussman, quitting. (Ping timeout: 245 seconds)
[2013-11-24 19:24:20] markboxall, joining. (#selenium)
[2013-11-24 19:28:57] markboxall, quitting. (Ping timeout: 252 seconds)
[2013-11-24 19:38:56] jimpurbrick, joining. (#selenium)
[2013-11-24 19:47:38] jimpurbrick, quitting. (Ping timeout: 245 seconds)
[2013-11-24 19:53:42] stephend, joining. (#selenium)
[2013-11-24 20:06:57] plightbo_work, quitting. (Remote host closed the connection)
[2013-11-24 20:07:33] plightbo_work, joining. (#selenium)
[2013-11-24 20:12:11] plightbo_work, quitting. (Ping timeout: 272 seconds)
[2013-11-24 20:14:02] jimpurbrick, joining. (#selenium)
[2013-11-24 20:14:22] plightbo_work, joining. (#selenium)
[2013-11-24 20:15:28] noahsussman, joining. (#selenium)
[2013-11-24 20:19:10] plightbo_work, quitting. (Client Quit)
[2013-11-24 20:23:07] jimpurbrick, quitting. (Ping timeout: 265 seconds)
[2013-11-24 20:23:25] noahsussman, quitting. (Ping timeout: 240 seconds)
[2013-11-24 20:26:27] cteef, quitting. (Ping timeout: 246 seconds)
[2013-11-24 20:40:48] cteef, joining. (#selenium)
[2013-11-24 20:49:13] jimpurbrick, joining. (#selenium)
[2013-11-24 20:50:45] noahsussman, joining. (#selenium)
[2013-11-24 20:56:45] farlan, leaving. (#selenium)
[2013-11-24 20:58:47] jimpurbrick, quitting. (Ping timeout: 272 seconds)
[2013-11-24 20:58:52] noahsussman, quitting. (Ping timeout: 246 seconds)
[2013-11-24 21:13:28] markboxall, joining. (#selenium)
[2013-11-24 21:17:51] markboxall, quitting. (Ping timeout: 252 seconds)
[2013-11-24 21:19:41] smccarthy2, quitting. (Remote host closed the connection)
[2013-11-24 21:24:25] jimpurbrick, joining. (#selenium)
[2013-11-24 21:29:31] plightbo_work, joining. (#selenium)
[2013-11-24 21:44:29] priyanka, joining. (#selenium)
[2013-11-24 21:45:06] priyanka, quitting. (Client Quit)
[2013-11-24 21:51:17] noahsussman, joining. (#selenium)
[2013-11-24 21:52:40] nirvdrum, quitting. (Ping timeout: 264 seconds)
[2013-11-24 21:58:27] SamuraiJack__, joining. (#selenium)
[2013-11-24 21:59:47] noahsussman, quitting. (Ping timeout: 265 seconds)
