[2013-10-20 19:19:49] eaj, joining. (#selenium)
[2013-10-20 19:23:48] admc, joining. (#selenium)
[2013-10-20 19:24:27] eaj, quitting. (Ping timeout: 248 seconds)
[2013-10-20 19:29:53] eaj, joining. (#selenium)
[2013-10-20 19:35:15] eaj, quitting. (Ping timeout: 272 seconds)
[2013-10-20 19:41:22] rananda, joining. (#selenium)
[2013-10-20 19:51:03] admc, quitting. (Quit: Leaving.)
[2013-10-20 19:57:14] admc, joining. (#selenium)
[2013-10-20 19:57:44] admc, quitting. (Client Quit)
[2013-10-20 19:57:55] Jamesons, quitting. (Ping timeout: 245 seconds)
[2013-10-20 20:12:20] DrJenkins, joining. (#selenium)
[2013-10-20 20:17:03] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-10-20 20:23:49] selbot2, quitting. (Ping timeout: 248 seconds)
[2013-10-20 20:23:57] selbot2, joining. (#selenium)
[2013-10-20 20:24:21] djinni, quitting. (Ping timeout: 248 seconds)
[2013-10-20 20:24:53] AutomatedTester, quitting. (Ping timeout: 248 seconds)
[2013-10-20 20:25:23] AutomatedTester, joining. (#selenium)
[2013-10-20 20:25:25] wilhelm, quitting. (Ping timeout: 248 seconds)
[2013-10-20 20:25:32] wilhelm, joining. (#selenium)
[2013-10-20 20:27:40] djinni, joining. (#selenium)
[2013-10-20 20:31:22] eaj, joining. (#selenium)
[2013-10-20 20:35:28] eaj, quitting. (Ping timeout: 240 seconds)
[2013-10-20 20:44:51] DrJenkins, joining. (#selenium)
[2013-10-20 20:49:25] DrJenkins, quitting. (Ping timeout: 248 seconds)
[2013-10-20 20:59:53] Selenium-Git, joining. (#selenium)
[2013-10-20 20:59:53] Selenium-Git: 01[13selenium01] 15selenium-ci pushed 1 new commit to 06master: 02http://git.io/XW5-vQ
[2013-10-20 20:59:53] Selenium-Git: 13selenium/06master 145c16266 15Jason Leyba: A few minor jsdoc tweaks to improve formatting when generating API documentation.
[2013-10-20 20:59:53] Selenium-Git, leaving. (#selenium)
[2013-10-20 21:02:40] eaj, joining. (#selenium)
[2013-10-20 21:17:07] DrJenkin_, joining. (#selenium)
[2013-10-20 21:21:19] eaj, quitting. (Read error: Connection reset by peer)
[2013-10-20 21:21:34] DrJenkin_, quitting. (Read error: Connection reset by peer)
[2013-10-20 21:21:55] eaj, joining. (#selenium)
[2013-10-20 21:31:11] awilson8201, joining. (#selenium)
[2013-10-20 21:32:23] awilson8202, joining. (#selenium)
[2013-10-20 21:34:02] sbos99, quitting. (Quit: Leaving)
[2013-10-20 21:35:58] awilson8201, quitting. (Ping timeout: 256 seconds)
[2013-10-20 21:39:15] seljenkinsbot: Project Firefox 23 XP Native Java Tests build #549: FIXED in 10 min: http://ci.seleniumhq.org:8080/job/Firefox%2023%20XP%20Native%20Java%20Tests/549/
[2013-10-20 21:40:14] DrJenkin_, joining. (#selenium)
[2013-10-20 21:45:02] DrJenkin_, quitting. (Ping timeout: 256 seconds)
[2013-10-20 21:45:40] santiycr, joining. (#selenium)
[2013-10-20 21:53:35] mehwork, quitting. (Ping timeout: 272 seconds)
[2013-10-20 21:59:59] smccarthy, quitting. (Remote host closed the connection)
[2013-10-20 22:11:24] girija, joining. (#selenium)
[2013-10-20 22:11:57] girija, leaving. (#selenium)
[2013-10-20 22:16:05] awilson8202, leaving. (#selenium)
[2013-10-20 22:16:34] ddary, joining. (#selenium)
[2013-10-20 22:19:30] admc, joining. (#selenium)
[2013-10-20 22:22:56] santiycr, quitting. (Quit: Leaving.)
[2013-10-20 22:29:14] voldial, joining. (#selenium)
[2013-10-20 22:31:37] voldial: contextlib.closing(webdriver.Firefox()).page_source gives me the source, but it's been re-written by webkit, is there a way (without making another request with urllib for example) to get the raw un-modified source?
[2013-10-20 22:40:32] DrJenkins, joining. (#selenium)
[2013-10-20 22:45:00] DrJenkins, quitting. (Ping timeout: 245 seconds)
[2013-10-20 22:45:50] toffermann, joining. (#selenium)
[2013-10-20 22:51:37] toffermann, leaving. (#selenium)
[2013-10-20 22:53:03] SamuraiJack, joining. (#selenium)
[2013-10-20 22:55:53] Selenium-Git, joining. (#selenium)
[2013-10-20 22:55:53] Selenium-Git: 01[13selenium01] 15selenium-ci pushed 1 new commit to 06master: 02http://git.io/jvUY9Q
[2013-10-20 22:55:54] Selenium-Git: 13selenium/06master 141b06f1e 15Alexei Barantsev: Updating httpclient and httpcore maven dependencies
[2013-10-20 22:55:54] Selenium-Git, leaving. (#selenium)
[2013-10-20 23:13:08] DrJenkin_, joining. (#selenium)
[2013-10-20 23:17:24] DrJenkin_, quitting. (Ping timeout: 256 seconds)
[2013-10-20 23:24:32] corinna000, quitting. (Read error: Operation timed out)
[2013-10-20 23:30:11] mehwork, joining. (#selenium)
[2013-10-20 23:36:30] eaj, quitting. (Remote host closed the connection)
[2013-10-20 23:37:04] eaj, joining. (#selenium)
[2013-10-20 23:41:32] eaj, quitting. (Ping timeout: 265 seconds)
[2013-10-20 23:43:08] papegaaij, joining. (#selenium)
[2013-10-20 23:45:38] DrJenkins, joining. (#selenium)
[2013-10-20 23:50:03] DrJenkins, quitting. (Ping timeout: 248 seconds)
[2013-10-20 23:55:38] seljenkinsbot: Project IE 8 Java Tests build #2932: UNSTABLE in 10 min: http://ci.seleniumhq.org:8080/job/IE%208%20Java%20Tests/2932/
[2013-10-20 23:57:16] DrJenkins, joining. (#selenium)
[2013-10-20 23:58:42] seljenkinsbot: Project Opera 12.01 XP Java Tests build #1157: UNSTABLE in 6 min 4 sec: http://ci.seleniumhq.org:8080/job/Opera%2012.01%20XP%20Java%20Tests/1157/
