[2013-12-25 07:30:31] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-25 07:30:33] DrJenkin_, joining. (#selenium)
[2013-12-25 07:34:55] DrJenkin_, quitting. (Read error: Connection reset by peer)
[2013-12-25 07:35:11] DrJenkins, joining. (#selenium)
[2013-12-25 07:39:14] DrJenkins, quitting. (Read error: Operation timed out)
[2013-12-25 07:39:49] DrJenkins, joining. (#selenium)
[2013-12-25 07:44:23] richdownie, joining. (#selenium)
[2013-12-25 07:44:27] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-25 07:44:33] DrJenkin_, joining. (#selenium)
[2013-12-25 07:48:36] richdownie, quitting. (Client Quit)
[2013-12-25 07:49:09] DrJenkin_, quitting. (Ping timeout: 272 seconds)
[2013-12-25 07:49:13] DrJenkins, joining. (#selenium)
[2013-12-25 07:53:30] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-25 07:53:53] DrJenkins, joining. (#selenium)
[2013-12-25 07:57:57] tony1, joining. (#selenium)
[2013-12-25 07:58:08] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-25 07:58:33] DrJenkins, joining. (#selenium)
[2013-12-25 08:02:15] tony1, quitting. (Ping timeout: 240 seconds)
[2013-12-25 08:02:50] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-25 08:03:15] DrJenkins, joining. (#selenium)
[2013-12-25 08:07:28] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-25 08:07:51] DrJenkins, joining. (#selenium)
[2013-12-25 08:08:17] HashNuke_: hey all ~!
[2013-12-25 08:08:46] HashNuke_: In a JSON string is \u0017 the equivalent of U+E017 ?
[2013-12-25 08:08:59] HashNuke_: I'm trying to send keys using the webdriver API.
[2013-12-25 08:09:14] michael_lee, quitting. (Quit: Ex-Chat)
[2013-12-25 08:12:32] DrJenkin_, joining. (#selenium)
[2013-12-25 08:12:50] DrJenkins, quitting. (Ping timeout: 264 seconds)
[2013-12-25 08:16:48] DrJenkin_, quitting. (Read error: Connection reset by peer)
[2013-12-25 08:17:10] DrJenkins, joining. (#selenium)
[2013-12-25 08:21:29] DrJenkins, quitting. (Ping timeout: 240 seconds)
