[2013-12-30 06:34:54] DrJenkins, joining. (#selenium)
[2013-12-30 06:38:38] simplex_: hey guys
[2013-12-30 06:39:09] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-30 06:39:34] DrJenkins, joining. (#selenium)
[2013-12-30 06:39:38] simplex_: how can i take a screenshot of the whole page with chromedriver? the screenshots i take sre only from the visible part...
[2013-12-30 06:40:04] simplex_: with other drivers it is the whole page...
[2013-12-30 06:40:10] simplex_: ?
[2013-12-30 06:40:42] jack090: Typically it's just what is in the browser frame
[2013-12-30 06:41:16] jack090: There are ways to get a screenshot
[2013-12-30 06:42:32] jack090: what language are you using?
[2013-12-30 06:44:03] DrJenkins, quitting. (Ping timeout: 260 seconds)
[2013-12-30 06:44:13] DrJenkins, joining. (#selenium)
[2013-12-30 06:44:34] drharmony, leaving. (#selenium)
[2013-12-30 06:47:10] therealfakemoot: Yes. I'm also really interested in taking full-page screenshots
[2013-12-30 06:47:56] jack090: Are you using remotewebdriver?
[2013-12-30 06:48:09] jack090: or is the test running on the machine itself
[2013-12-30 06:48:39] DrJenkins, quitting. (Ping timeout: 265 seconds)
[2013-12-30 06:48:52] DrJenkins, joining. (#selenium)
[2013-12-30 06:48:53] alkemist, joining. (#selenium)
[2013-12-30 06:49:18] llaskin, joining. (#selenium)
[2013-12-30 06:51:07] jack090: Also are you wanting the URL bar etc..?
[2013-12-30 06:51:32] therealfakemoot: Just the page contents would satisfy me.
[2013-12-30 06:51:44] therealfakemoot: And the tests will end up being run both remotely and locally
[2013-12-30 06:51:48] therealfakemoot: at different times
[2013-12-30 06:53:03] DrJenkins, quitting. (Ping timeout: 245 seconds)
[2013-12-30 06:53:33] DrJenkins, joining. (#selenium)
[2013-12-30 06:54:38] jack090: https://code.google.com/p/chromedriver/issues/detail?id=294
[2013-12-30 06:55:14] jack090: you can stitch the pages together etc.. but currently it's a bug with chromedriver2
[2013-12-30 06:56:05] jack090: if you want title bar etc.. you'll have to invoke a different API to screen capture.
[2013-12-30 06:56:29] simplex_: resize the window -> take the screenshot -> resize back...
[2013-12-30 06:56:38] simplex_: thats how i do it atm
[2013-12-30 06:56:42] alkemist: I can't seem to start IE via the Grid.
[2013-12-30 06:56:48] alkemist: I get the NoSuchWindowException.
[2013-12-30 06:56:57] alkemist: I've set protected mode to off for all zones, but am still getting this
[2013-12-30 06:57:16] alkemist: Is there any other required config? Is there any way of getting more logs?
[2013-12-30 06:57:20] simplex_: it's not really goo though
[2013-12-30 06:58:11] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-30 06:58:34] DrJenkins, joining. (#selenium)
[2013-12-30 06:59:37] jack090: simplex_ what language are you using?
[2013-12-30 06:59:43] simplex_: .net
[2013-12-30 07:00:19] therealfakemoot: I'm looking for a python solution
[2013-12-30 07:00:26] therealfakemoot: ideally
[2013-12-30 07:01:10] jack090: I can help in C# but python probably wouldn't be that bad
[2013-12-30 07:01:35] therealfakemoot: Maybe I should just write a patch for the selenium-python.
[2013-12-30 07:02:46] zeljkof, joining. (#selenium)
[2013-12-30 07:03:00] testersel, joining. (#selenium)
[2013-12-30 07:03:07] simplex_: how can you help in C# ?
[2013-12-30 07:03:08] DrJenkins, quitting. (Ping timeout: 252 seconds)
