[2013-06-30 15:56:47] seljenkinsbot: Project SeleniumHQ build #122: SUCCESS in 46 sec: http://ci.seleniumhq.org:8080/job/SeleniumHQ/122/
[2013-06-30 15:56:47] seljenkinsbot: Samit Badle: Selenium ide v2.1.0 download link
[2013-06-30 15:57:52] ej, quitting. (Ping timeout: 256 seconds)
[2013-06-30 16:03:06] ej, joining. (#selenium)
[2013-06-30 16:07:37] ej, quitting. (Ping timeout: 246 seconds)
[2013-06-30 16:13:17] noahsussman, joining. (#selenium)
[2013-06-30 16:21:45] noahsussman, quitting. (Ping timeout: 252 seconds)
[2013-06-30 16:25:28] lytrogeek, quitting. (Ping timeout: 246 seconds)
[2013-06-30 16:26:57] eanxgeek|log, joining. (#selenium)
[2013-06-30 16:27:05] eanxgeek|log, changing nick to lytrogeek.
[2013-06-30 16:27:54] jimpurbrick, quitting. (Quit: Leaving.)
[2013-06-30 16:30:46] jimpurbrick, joining. (#selenium)
[2013-06-30 16:32:18] mreedell-work, joining. (#selenium)
[2013-06-30 16:47:55] dimacus, joining. (#selenium)
[2013-06-30 16:52:24] o3u, quitting. (Ping timeout: 268 seconds)
[2013-06-30 16:52:58] o3u, joining. (#selenium)
[2013-06-30 16:53:38] ryanpetrello, quitting. (Remote host closed the connection)
[2013-06-30 17:00:46] jleyba_, joining. (#selenium)
[2013-06-30 17:15:44] dimacus, quitting. (Quit: Leaving.)
[2013-06-30 17:30:58] noahsussman, joining. (#selenium)
[2013-06-30 17:34:43] brettporter, joining. (#selenium)
[2013-06-30 17:38:42] dimacus, joining. (#selenium)
[2013-06-30 17:39:06] noahsussman, quitting. (Ping timeout: 252 seconds)
[2013-06-30 17:44:30] smccarthy, quitting. (Remote host closed the connection)
[2013-06-30 17:46:44] jibay, quitting. (Remote host closed the connection)
[2013-06-30 17:47:04] jleyba_, quitting. (Quit: jleyba_)
[2013-06-30 17:48:10] jleyba_, joining. (#selenium)
[2013-06-30 17:49:16] nirvdrum, quitting. (Ping timeout: 260 seconds)
[2013-06-30 17:49:46] dimacus, quitting. (Quit: Leaving.)
[2013-06-30 17:57:16] rickdarcy, joining. (#selenium)
[2013-06-30 18:01:02] mreedell-work, quitting. (Quit: Computer has gone to sleep.)
[2013-06-30 18:01:29] rickdarcy, quitting. (Ping timeout: 248 seconds)
[2013-06-30 18:03:56] ej, joining. (#selenium)
[2013-06-30 18:08:52] ej, quitting. (Ping timeout: 268 seconds)
[2013-06-30 18:14:12] ej, joining. (#selenium)
[2013-06-30 18:18:32] ej, quitting. (Ping timeout: 252 seconds)
[2013-06-30 18:28:10] phishy, quitting. (Quit: Computer has gone to sleep.)
[2013-06-30 18:32:01] ryanpetrello, joining. (#selenium)
[2013-06-30 18:47:23] silne30, quitting. (Quit: Konversation terminated!)
[2013-06-30 18:48:14] jimpurbrick, quitting. (Quit: Leaving.)
[2013-06-30 18:58:11] noahsussman, joining. (#selenium)
[2013-06-30 18:59:50] dimacus, joining. (#selenium)
[2013-06-30 19:06:19] dimacus, quitting. (Quit: Leaving.)
[2013-06-30 19:06:22] noahsussman, quitting. (Ping timeout: 252 seconds)
[2013-06-30 19:07:06] dimacus, joining. (#selenium)
[2013-06-30 19:09:43] phishy, joining. (#selenium)
[2013-06-30 19:10:40] dimacus, quitting. (Client Quit)
[2013-06-30 19:27:11] dimacus, joining. (#selenium)
[2013-06-30 19:27:11] dimacus, quitting. (Client Quit)
[2013-06-30 19:27:58] dimacus, joining. (#selenium)
[2013-06-30 19:35:12] jleyba_, quitting. (Quit: jleyba_)
[2013-06-30 19:43:42] o3u, quitting. (Ping timeout: 240 seconds)
[2013-06-30 19:46:52] dimacus, quitting. (Quit: Leaving.)
[2013-06-30 19:50:06] Silne30, joining. (#selenium)
[2013-06-30 19:52:28] noahsussman, joining. (#selenium)
[2013-06-30 19:53:32] o3u, joining. (#selenium)
[2013-06-30 20:00:21] farlan, leaving. (#selenium)
[2013-06-30 20:00:37] noahsussman, quitting. (Ping timeout: 252 seconds)
[2013-06-30 20:00:48] dimacus, joining. (#selenium)
[2013-06-30 20:02:02] agustinfl, quitting. (Quit: ZNC - http://znc.in)
[2013-06-30 20:03:40] o3u, quitting. (Ping timeout: 260 seconds)
[2013-06-30 20:05:03] o3u, joining. (#selenium)
[2013-06-30 20:05:14] dimacus, quitting. (Client Quit)
[2013-06-30 20:12:20] jimpurbrick, joining. (#selenium)
[2013-06-30 20:15:02] ej, joining. (#selenium)
[2013-06-30 20:17:53] dimacus, joining. (#selenium)
[2013-06-30 20:18:01] dimacus, quitting. (Client Quit)
[2013-06-30 20:19:05] phishy, quitting. (Quit: Computer has gone to sleep.)
[2013-06-30 20:19:20] smccarthy, joining. (#selenium)
[2013-06-30 20:19:51] ej, quitting. (Ping timeout: 264 seconds)
[2013-06-30 20:25:19] ej, joining. (#selenium)
