[2013-06-29 19:47:50] o3u, quitting. (Ping timeout: 246 seconds)
[2013-06-29 19:51:51] p0deje, quitting. (Ping timeout: 260 seconds)
[2013-06-29 19:52:37] noahsussman, quitting. (Remote host closed the connection)
[2013-06-29 19:53:49] FullTiltProspect, joining. (#selenium)
[2013-06-29 19:57:57] ShawnM, joining. (#selenium)
[2013-06-29 20:00:19] davidlai, joining. (#selenium)
[2013-06-29 20:02:58] ryanpetrello, joining. (#selenium)
[2013-06-29 20:05:34] ShawnM, quitting. (Ping timeout: 256 seconds)
[2013-06-29 20:07:51] ShawnM, joining. (#selenium)
[2013-06-29 20:22:58] p0deje, joining. (#selenium)
[2013-06-29 20:29:21] o3u, joining. (#selenium)
[2013-06-29 20:34:38] codepython777, joining. (#selenium)
[2013-06-29 20:35:30] ej, joining. (#selenium)
[2013-06-29 20:36:50] silne30, quitting. (Quit: Konversation terminated!)
[2013-06-29 20:36:52] noahsussman, joining. (#selenium)
[2013-06-29 20:36:58] silne30, joining. (#selenium)
[2013-06-29 20:38:35] ryanpetrello, quitting. (Remote host closed the connection)
[2013-06-29 20:40:39] ej, quitting. (Ping timeout: 268 seconds)
[2013-06-29 20:45:35] ej, joining. (#selenium)
[2013-06-29 20:50:27] ej, quitting. (Ping timeout: 264 seconds)
[2013-06-29 20:50:31] o3u, quitting. (Ping timeout: 268 seconds)
[2013-06-29 20:54:52] silne30, quitting. (Ping timeout: 256 seconds)
[2013-06-29 20:56:29] jimpurbrick, joining. (#selenium)
[2013-06-29 20:59:17] jimpurbrick1, quitting. (Ping timeout: 256 seconds)
[2013-06-29 21:06:01] p0deje, quitting. (Ping timeout: 240 seconds)
[2013-06-29 21:06:50] ShawnM, quitting. (Remote host closed the connection)
[2013-06-29 21:07:09] o3u, joining. (#selenium)
[2013-06-29 21:07:33] ShawnM, joining. (#selenium)
[2013-06-29 21:28:21] noahsussman, quitting. (Remote host closed the connection)
[2013-06-29 21:34:35] p0deje, joining. (#selenium)
[2013-06-29 21:45:17] richdownie, joining. (#selenium)
[2013-06-29 21:49:51] o3u, quitting. (Ping timeout: 264 seconds)
[2013-06-29 21:58:53] noahsussman, joining. (#selenium)
[2013-06-29 22:14:49] SamuraiJack_, quitting. (Ping timeout: 248 seconds)
[2013-06-29 22:21:56] Archdude_, joining. (#selenium)
[2013-06-29 22:23:56] Archdude, quitting. (Ping timeout: 252 seconds)
[2013-06-29 22:23:56] Archdude_, changing nick to Archdude.
[2013-06-29 22:25:42] richdownie, quitting. (Ping timeout: 246 seconds)
[2013-06-29 22:37:03] noahsussman, quitting. (Ping timeout: 252 seconds)
[2013-06-29 22:46:46] ej, joining. (#selenium)
[2013-06-29 22:51:04] ej, quitting. (Ping timeout: 260 seconds)
[2013-06-29 22:56:39] ej, joining. (#selenium)
