[2015-06-20 14:00:17] ghormoon_, joining. (#selenium)
[2015-06-20 14:00:42] bl4ckscor3, quitting. (Ping timeout: 255 seconds)
[2015-06-20 14:00:59] bl4ckscor3, joining. (#selenium)
[2015-06-20 14:01:09] Tashi, quitting. (Ping timeout: 255 seconds)
[2015-06-20 14:01:32] r0kc4t, joining. (#selenium)
[2015-06-20 14:03:17] p_l|backup, joining. (#selenium)
[2015-06-20 14:03:21] tbeadle_, joining. (#selenium)
[2015-06-20 14:04:59] tourdedave, joining. (#selenium)
[2015-06-20 14:06:19] trauty, quitting. (*.net *.split)
[2015-06-20 14:06:19] aguynamedben, quitting. (*.net *.split)
[2015-06-20 14:06:19] nicegraham______, quitting. (*.net *.split)
[2015-06-20 14:06:19] paolo_, quitting. (*.net *.split)
[2015-06-20 14:06:20] sahazel, quitting. (*.net *.split)
[2015-06-20 14:06:20] Sithyrra, quitting. (*.net *.split)
[2015-06-20 14:06:20] ato, quitting. (*.net *.split)
[2015-06-20 14:06:20] r0kc4t_, quitting. (*.net *.split)
[2015-06-20 14:06:20] akafred, quitting. (*.net *.split)
[2015-06-20 14:06:20] Guest27022, quitting. (*.net *.split)
[2015-06-20 14:06:20] ColinSauce, quitting. (*.net *.split)
[2015-06-20 14:06:21] mramberg, quitting. (*.net *.split)
[2015-06-20 14:06:21] tbeadle, quitting. (*.net *.split)
[2015-06-20 14:06:21] noahsussman, quitting. (*.net *.split)
[2015-06-20 14:06:21] tobie, quitting. (*.net *.split)
[2015-06-20 14:06:21] arcanine, quitting. (*.net *.split)
[2015-06-20 14:06:21] seljenkinsbot, quitting. (*.net *.split)
[2015-06-20 14:06:21] stackedsax, quitting. (*.net *.split)
[2015-06-20 14:06:22] sambuddhabasu11, joining. (#selenium)
[2015-06-20 14:06:22] sohlemac_, joining. (#selenium)
[2015-06-20 14:06:44] Skywalke1, joining. (#selenium)
[2015-06-20 14:07:15] javawizard, joining. (#selenium)
[2015-06-20 14:08:18] mkaufman, joining. (#selenium)
[2015-06-20 14:08:30] sts_, joining. (#selenium)
[2015-06-20 14:08:46] phasze1, joining. (#selenium)
[2015-06-20 14:08:51] sohlemac, quitting. (Ping timeout: 244 seconds)
[2015-06-20 14:08:52] sambuddhabasu1, quitting. (Ping timeout: 244 seconds)
[2015-06-20 14:08:52] jcp, quitting. (Ping timeout: 244 seconds)
[2015-06-20 14:08:52] Skywalker, quitting. (Ping timeout: 244 seconds)
[2015-06-20 14:08:52] Guest62664, quitting. (Ping timeout: 244 seconds)
[2015-06-20 14:08:52] asm89, quitting. (Ping timeout: 244 seconds)
[2015-06-20 14:08:52] phasze, quitting. (Ping timeout: 244 seconds)
[2015-06-20 14:08:58] sts_, changing nick to Guest36007.
[2015-06-20 14:09:34] p_l|back1p, quitting. (Ping timeout: 255 seconds)
[2015-06-20 14:09:36] D3M0S, joining. (#selenium)
[2015-06-20 14:09:45] D3M0S, changing nick to Guest13950.
