[2014-09-15 08:11:46] selbot2__: 04 Open issues: 819
[2014-09-15 08:12:25] lampd1, joining. (#selenium)
[2014-09-15 08:12:38] WhereIsMySpoon: joshin4colours: did you have a look at the patch notes?
[2014-09-15 08:13:07] joshin4colours: WhereIsMySpoon: I did not, where would I find those?
[2014-09-15 08:13:47] dude-x: :changelog
[2014-09-15 08:13:47] selbot2__: .NET: http://goo.gl/zBIjE | Java: http://goo.gl/5B23U | Ruby: http://goo.gl/yN6Qm | Python: http://goo.gl/7BtCb | IDE: http://goo.gl/50vLB | IE: http://goo.gl/VYNFyb
[2014-09-15 08:14:42] AndreiH, quitting. (Remote host closed the connection)
[2014-09-15 08:14:47] barancev|2: he-he, IDE 2.7.0 is out
[2014-09-15 08:14:59] joshin4colours: dude-x, WhereIsMySpoon so that's super handy. Thanks so much!
[2014-09-15 08:15:05] fabrice31, quitting. (Remote host closed the connection)
[2014-09-15 08:16:04] ArSn, joining. (#selenium)
[2014-09-15 08:16:28] SitamJana, quitting. (Quit: SitamJana)
[2014-09-15 08:16:37] operatiay, quitting. (Remote host closed the connection)
[2014-09-15 08:16:50] davehunt, joining. (#selenium)
[2014-09-15 08:19:32] jkrocil, quitting. (Quit: Ex-Chat)
[2014-09-15 08:20:44] operatiay, joining. (#selenium)
[2014-09-15 08:21:35] barancev|2, changing nick to barancev.
[2014-09-15 08:21:39] barancev: No More RC!
[2014-09-15 08:23:48] d0x_: Someone tried to debug the FirefoxDriver in the "Browser Toolbox" of firefox the last days?
[2014-09-15 08:24:51] d0x_, changing nick to d0x.
[2014-09-15 08:25:29] Bebe_sel, quitting. (Remote host closed the connection)
[2014-09-15 08:28:07] antsanto, quitting. (Ping timeout: 245 seconds)
[2014-09-15 08:31:30] simonstewart: barancev: what prompted that?
[2014-09-15 08:32:49] WhereIsMySpoon: simonstewart: he's been saying it for the last few days
[2014-09-15 08:33:00] WhereIsMySpoon: simonstewart: 2.43.0 officially deprecated the RC bits of selenium
[2014-09-15 08:33:52] ianbrandt, quitting. (Quit: ianbrandt)
[2014-09-15 08:33:57] simonstewart: Yes. Yes it did.
[2014-09-15 08:34:18] WhereIsMySpoon: I guess he's just happy
[2014-09-15 08:34:19] WhereIsMySpoon: :p
[2014-09-15 08:36:22] barancev: simonstewart: it's a daily reminder :)
[2014-09-15 08:37:06] barancev: that we a heading to 3.0 codename "No More RC!"
[2014-09-15 08:41:46] selbot2__: 04 Open issues: 818
[2014-09-15 08:43:01] antsanto, joining. (#selenium)
[2014-09-15 08:43:43] farlan, joining. (#selenium)
[2014-09-15 08:49:06] simonstewart: http://open.spotify.com/track/5gUg0GoCb5WqgscZS0XmwK
[2014-09-15 08:54:39] dude-x, quitting. (Remote host closed the connection)
[2014-09-15 08:58:16] nirvdrum, quitting. (Ping timeout: 260 seconds)
[2014-09-15 09:01:35] dude-x, joining. (#selenium)
[2014-09-15 09:01:55] antsanto, quitting. (Read error: Connection reset by peer)
[2014-09-15 09:01:59] Ants, joining. (#selenium)
[2014-09-15 09:04:01] RexButler, leaving. ("Leaving")
[2014-09-15 09:04:25] Archdude_, joining. (#selenium)
[2014-09-15 09:04:27] RexButler, joining. (#selenium)
[2014-09-15 09:05:02] RexButler, leaving. (#selenium)
[2014-09-15 09:05:22] Archdude, quitting. (Ping timeout: 240 seconds)
[2014-09-15 09:05:23] Archdude_, changing nick to Archdude.
[2014-09-15 09:07:29] dude-x, quitting. ()
[2014-09-15 09:07:49] dude-x, joining. (#selenium)
[2014-09-15 09:09:07] Ants, quitting. (Remote host closed the connection)
[2014-09-15 09:09:11] kr1s, joining. (#selenium)
[2014-09-15 09:09:38] ianbrandt, joining. (#selenium)
[2014-09-15 09:11:46] selbot2__: 04 Open issues: 818
[2014-09-15 09:12:17] d0x, quitting. (Ping timeout: 245 seconds)
[2014-09-15 09:13:08] amasaamos, quitting. (Quit: Leaving.)
[2014-09-15 09:13:40] kr1s, quitting. (Ping timeout: 260 seconds)
[2014-09-15 09:15:56] KyleG, joining. (#selenium)
[2014-09-15 09:15:56] KyleG, quitting. (Changing host)
[2014-09-15 09:15:56] KyleG, joining. (#selenium)
[2014-09-15 09:18:32] operatiay, quitting. (Remote host closed the connection)
[2014-09-15 09:19:47] cristi, quitting. (Ping timeout: 245 seconds)
[2014-09-15 09:23:05] SwampDragons, joining. (#selenium)
[2014-09-15 09:25:03] losh, quitting. (Remote host closed the connection)
[2014-09-15 09:29:45] JP, quitting. (Quit:  HydraIRC -> http://www.hydrairc.com <- It'll be on slashdot one day...)
[2014-09-15 09:33:16] cristi, joining. (#selenium)
[2014-09-15 09:34:19] amasaamos, joining. (#selenium)
[2014-09-15 09:39:46] tony2, quitting. (Quit: Leaving.)
[2014-09-15 09:40:07] tony2, joining. (#selenium)
[2014-09-15 09:41:47] selbot2__: 04 Open issues: 818
[2014-09-15 09:42:02] bimmelino, quitting. (Quit: Leaving.)
